data_id|product_name|unit_price|uom
4189|#18-2C Flat THHN-PVC Tray Cable|$0.22|ft.
649|#18-3C THHN-PVC Tray Cable|$0.31|ft.
652|#18-4C THHN-PVC Tray Cable|$0.39|ft.
655|#18-5C THHN-PVC Tray Cable|$0.47|ft.
658|#18-7C THHN-PVC Tray Cable|$0.87|ft.
3088|#18-9C THHN-PVC Tray Cable|$1.09|ft.
2854|#18-12C THHN-PVC Tray Cable|$1.54|ft.
4924|#18-15C THHN-PVC Tray Cable|$1.86|ft.
4219|#18-19C THHN-PVC Tray Cable|$2.50|ft.
4927|#18-25C THHN-PVC Tray Cable|$3.19|ft.
10549|#18-37C THHN-PVC Tray Cable|$3.54|ft.
661|#16-2C THHN-PVC Tray Cable|$0.29|ft.
664|#16-3C THHN-PVC Tray Cable|$0.41|ft.
667|#16-4C THHN-PVC Tray Cable|$0.57|ft.
670|#16-5C THHN-PVC Tray Cable|$0.65|ft.
8803|#16-6C THHN-PVC Tray Cable|$0.77|ft.
673|#16-7C THHN-PVC Tray Cable|$0.87|ft.
676|#16-9C THHN-PVC Tray Cable|$1.14|ft.
33722|#16-10C THHN-PVC Tray Cable|$1.36|ft.
3091|#16-12C THHN-PVC Tray Cable|$1.58|ft.
3094|#16-15C THHN-PVC Tray Cable|$2.10|ft.
3097|#16-19C THHN-PVC Tray Cable|$2.73|ft.
4159|#16-25C THHN-PVC Tray Cable|$4.47|ft.
3100|#16-30C THHN-PVC Tray Cable|$5.55|ft.
7741|#16-50C THHN-PVC Tray Cable|$7.22|ft.
679|#14-2C THHN-PVC Tray Cable|$0.37|ft.
682|#14-3C THHN-PVC Tray Cable|$0.57|ft.
685|#14-4C THHN-PVC Tray Cable|$0.73|ft.
688|#14-5C THHN-PVC Tray Cable|$0.95|ft.
691|#14-7C THHN-PVC Tray Cable|$1.28|ft.
694|#14-9C THHN-PVC Tray Cable|$1.65|ft.
3103|#14-12C THHN-PVC Tray Cable|$2.23|ft.
3106|#14-15C THHN-PVC Tray Cable|$2.93|ft.
5842|#14-19C THHN-PVC Tray Cable|$3.49|ft.
4156|#14-25C THHN-PVC Tray Cable|$5.04|ft.
4909|#14-30C THHN-PVC Tray Cable|N/A|NA
3109|#14-37C THHN-PVC Tray Cable|$8.15|ft.
4153|#14-50C THHN-PVC Tray Cable|$14.60|ft.
697|#12-2C THHN-PVC Tray Cable|$0.57|ft.
700|#12-3C THHN-PVC Tray Cable|$0.87|ft.
33170|#12-3C THHN-PVC Tray Cable (Black, White, Green)|$0.87|ft.
706|#12-4C THHN-PVC Tray Cable|$1.22|ft.
709|#12-5C THHN-PVC Tray Cable|$1.44|ft.
712|#12-7C THHN-PVC Tray Cable|$1.95|ft.
715|#12-9C THHN-PVC Tray Cable|$2.56|ft.
3112|#12-12C THHN-PVC Tray Cable|$3.43|ft.
3115|#12-15C THHN-PVC Tray Cable|$3.83|ft.
3118|#12-19C THHN-PVC Tray Cable|$5.90|ft.
