group_name|data_id|product_Name|price_unit|uom
THHN-PVC Tray Cable|4189|#18-2C Flat THHN-PVC Tray Cable|0.22|ft
THHN-PVC Tray Cable|649|#18-3C THHN-PVC Tray Cable|0.31|ft
THHN-PVC Tray Cable|652|#18-4C THHN-PVC Tray Cable|0.39|ft
THHN-PVC Tray Cable|655|#18-5C THHN-PVC Tray Cable|0.47|ft
THHN-PVC Tray Cable|658|#18-7C THHN-PVC Tray Cable|0.87|ft
THHN-PVC Tray Cable|3088|#18-9C THHN-PVC Tray Cable|1.09|ft
THHN-PVC Tray Cable|2854|#18-12C THHN-PVC Tray Cable|1.54|ft
THHN-PVC Tray Cable|4924|#18-15C THHN-PVC Tray Cable|1.86|ft
THHN-PVC Tray Cable|4219|#18-19C THHN-PVC Tray Cable|2.5|ft
THHN-PVC Tray Cable|4927|#18-25C THHN-PVC Tray Cable|3.19|ft
THHN-PVC Tray Cable|10549|#18-37C THHN-PVC Tray Cable|3.54|ft
THHN-PVC Tray Cable|661|#16-2C THHN-PVC Tray Cable|0.29|ft
THHN-PVC Tray Cable|664|#16-3C THHN-PVC Tray Cable|0.41|ft
THHN-PVC Tray Cable|667|#16-4C THHN-PVC Tray Cable|0.57|ft
THHN-PVC Tray Cable|670|#16-5C THHN-PVC Tray Cable|0.65|ft
THHN-PVC Tray Cable|8803|#16-6C THHN-PVC Tray Cable|0.77|ft
THHN-PVC Tray Cable|673|#16-7C THHN-PVC Tray Cable|0.87|ft
THHN-PVC Tray Cable|676|#16-9C THHN-PVC Tray Cable|1.14|ft
THHN-PVC Tray Cable|33722|#16-10C THHN-PVC Tray Cable|1.36|ft
THHN-PVC Tray Cable|3091|#16-12C THHN-PVC Tray Cable|1.58|ft
THHN-PVC Tray Cable|3094|#16-15C THHN-PVC Tray Cable|2.1|ft
THHN-PVC Tray Cable|3097|#16-19C THHN-PVC Tray Cable|2.73|ft
THHN-PVC Tray Cable|4159|#16-25C THHN-PVC Tray Cable|4.47|ft
THHN-PVC Tray Cable|3100|#16-30C THHN-PVC Tray Cable|5.55|ft
